Category, Annotator 1, Annotator 2, SegSim, BoundSim
analepsis, AS, KH, 0.9983981578815637983681233418, 0.3333333333333333333333333333
fid pers=bayrolles, AS, KH, N/A, N/A
fid pers=caspar grattan, AS, KH, N/A, N/A
fid pers=joel hatman jr, AS, KH, N/A, N/A
fid pers=julia hetman, AS, KH, N/A, N/A
level degree=1, AS, KH, 0.9984982730139660609701156330, 0.09090909090909090909090909091
level degree=2, AS, KH, 0.9985983881463683235721079241, 0.03448275862068965517241379310
prolepsis, AS, KH, N/A, N/A
schwer zu entscheiden, AS, KH, N/A, N/A
soc pers=bayrolles, AS, KH, N/A, N/A
soc pers=caspar grattan, AS, KH, N/A, N/A
