Category, Annotator 1, Annotator 2, SegSim, BoundSim
change_narratee, FP, MS, N/A, N/A
level_change, FP, MS, 0.9997955428337763238601512983, 0.3333333333333333333333333333
narratee_change, FP, MS, N/A, N/A
narrative_level number="1", FP, MS, N/A, N/A
narrative_level number="1" words=1387, FP, MS, N/A, N/A
narrative_level number="2", FP, MS, N/A, N/A
narrative_level number="2" words=352, FP, MS, N/A, N/A
narrative_level number=”1”, FP, MS, N/A, N/A
narrative_level number=”1” words=1387, FP, MS, N/A, N/A
narrative_level number=”2”, FP, MS, N/A, N/A
narrative_level number=”2” words=410, FP, MS, N/A, N/A
narrative_levelchange completion="never closed", FP, MS, N/A, N/A
narrative_levelchange completion="never opened", FP, MS, N/A, N/A
narrative_levelchange completion=”never_closed”, FP, MS, N/A, N/A
narrative_levelchange completion=”never_opened”, FP, MS, N/A, N/A
narrator participation="autodiegetic", FP, MS, N/A, N/A
narrator participation="homodiegetic", FP, MS, N/A, N/A
narrator participation=”homodiegetic”, FP, MS, N/A, N/A
narrator_change, FP, MS, 0.9997955428337763238601512983, 0.3333333333333333333333333333
