Category, Annotator 1, Annotator 2, SegSim, BoundSim
change_narratee, FP, MS, 0.9993706500814452835776691841, 0.3928571428571428571428571429
level_change, FP, MS, 0.9993706500814452835776691841, 0.3928571428571428571428571429
narrative_level number="1", FP, MS, N/A, N/A
narrative_level number="1" words=727, FP, MS, N/A, N/A
narrative_level number="2", FP, MS, N/A, N/A
narrative_level number="2" words=1850, FP, MS, N/A, N/A
narrative_level number=”1”, FP, MS, N/A, N/A
narrative_level number=”1” words=624, FP, MS, N/A, N/A
narrative_level number=”2”, FP, MS, N/A, N/A
narrative_level number=”2” words=1953, FP, MS, N/A, N/A
narrative_levelchange completion="complete", FP, MS, N/A, N/A
narrative_levelchange completion="never closed", FP, MS, N/A, N/A
narrative_levelchange completion="never opened", FP, MS, N/A, N/A
narrative_levelchange completion=”complete”, FP, MS, N/A, N/A
narrative_levelchange completion=”never_closed”, FP, MS, N/A, N/A
narrative_levelchange completion=”never_opened”, FP, MS, N/A, N/A
narrator participation="autodiegetic", FP, MS, N/A, N/A
narrator participation="homodiegetic", FP, MS, N/A, N/A
narrator participation=”autodiegetic”, FP, MS, N/A, N/A
narrator_change, FP, MS, 0.9996668147490004442470013327, 0.55
