Category, Annotator 1, Annotator 2, SegSim, BoundSim
change_narratee, FP, MS, 0.9987722656900283003162976527, 0.1323529411764705882352941176
level_change, FP, MS, 0.9985017479607125020809056101, 0.1
narrative_level number="1", FP, MS, N/A, N/A
narrative_level number="1" words=404, FP, MS, N/A, N/A
narrative_level number="2", FP, MS, N/A, N/A
narrative_level number="2" words=3216, FP, MS, N/A, N/A
narrative_level number="3", FP, MS, N/A, N/A
narrative_level number="3" words=754, FP, MS, N/A, N/A
narrative_level number=”2”, FP, MS, N/A, N/A
narrative_level number=”2” words=271, FP, MS, N/A, N/A
narrative_level number=”3”, FP, MS, N/A, N/A
narrative_level number=”3” words=4103, FP, MS, N/A, N/A
narrative_levelchange completion="complete", FP, MS, N/A, N/A
narrative_levelchange completion="never opened", FP, MS, N/A, N/A
narrative_levelchange completion=”complete”, FP, MS, N/A, N/A
narrator participation="autodiegetic", FP, MS, N/A, N/A
narrator participation="heterodiegetic", FP, MS, N/A, N/A
narrator participation="homodiegetic", FP, MS, N/A, N/A
narrator participation=”heterodiegetic”, FP, MS, N/A, N/A
narrator participation=”homodiegetic”, FP, MS, N/A, N/A
narrator_change, FP, MS, 0.9987722656900283003162976527, 0.1323529411764705882352941176
