Category, Annotator 1, Annotator 2, SegSim, BoundSim
characters_0, CB, MM, 0.9981054764946909283165176014, 0.5376344086021505376344086022
characters_1, CB, MM, N/A, N/A
foc_int, CB, MM, N/A, N/A
foc_unr, CB, MM, 0.9988544741595805613076618055, 0.07142857142857142857142857143
narrator_0, CB, MM, 1, 1
narrator_1, CB, MM, N/A, N/A
narrator_2, CB, MM, N/A, N/A
nc, CB, MM, 0.9966955985372516191567167467, 0.4047619047619047619047619048
turn, CB, MM, 0.9980614178085209499052738247, 0.6641221374045801526717557252
voice_1, CB, MM, N/A, N/A
voice_3, CB, MM, 0.9988544741595805613076618055, 0.07142857142857142857142857143
